*** 2025-11-28  07:56:39 *** (restart)
FD : 1 hour ago <=> 11/26/2025 : AG

_*** 2025-11-29  02:00:46 ***_

_*** 2025-11-29  02:06:52 ***_

_*** 2025-11-29  02:12:58 ***_

_*** 2025-11-29  02:19:04 ***_

_*** 2025-11-29  02:25:10 ***_

_*** 2025-11-29  02:31:15 ***_

_*** 2025-11-29  02:37:21 ***_

_*** 2025-11-29  02:43:27 ***_

_*** 2025-11-29  02:49:33 ***_

_*** 2025-11-29  02:55:39 ***_

_*** 2025-11-29  03:01:45 ***_

_*** 2025-11-29  03:07:51 ***_

_*** 2025-11-29  03:13:56 ***_

_*** 2025-11-29  03:20:02 ***_

_*** 2025-11-29  03:26:08 ***_

_*** 2025-11-29  03:32:14 ***_

_*** 2025-11-29  03:38:20 ***_

_*** 2025-11-29  03:44:26 ***_

_*** 2025-11-29  03:50:31 ***_

_*** 2025-11-29  03:56:37 ***_

_*** 2025-11-29  04:02:43 ***_

_*** 2025-11-29  04:08:49 ***_

_*** 2025-11-29  04:14:55 ***_

_*** 2025-11-29  04:21:01 ***_

_*** 2025-11-29  04:27:06 ***_

*** 2025-11-29  04:29:03 *** (restart)
FD : yesterday at 06:22 <=> yesterday at 09:59 : AG

_*** 2025-11-29  04:30:15 ***_

_*** 2025-11-29  04:36:21 ***_

_*** 2025-11-29  04:42:27 ***_

_*** 2025-11-29  04:48:33 ***_

_*** 2025-11-29  04:54:39 ***_

_*** 2025-11-29  05:00:45 ***_

_*** 2025-11-29  05:06:51 ***_

_*** 2025-11-29  05:12:57 ***_

_*** 2025-11-29  05:19:03 ***_

_*** 2025-11-29  05:25:09 ***_

_*** 2025-11-29  05:31:15 ***_

_*** 2025-11-29  05:34:21 ***_

_*** 2025-11-29  05:37:27 ***_

_*** 2025-11-29  05:40:33 ***_

_*** 2025-11-29  05:43:39 ***_

_*** 2025-11-29  05:46:45 ***_

_*** 2025-11-29  05:49:51 ***_

_*** 2025-11-29  05:52:57 ***_

_*** 2025-11-29  05:56:03 ***_

_*** 2025-11-29  05:59:09 ***_

_*** 2025-11-29  06:02:15 ***_

_*** 2025-11-29  06:05:20 ***_

_*** 2025-11-29  06:08:27 ***_

_*** 2025-11-29  06:11:32 ***_

_*** 2025-11-29  06:14:38 ***_

_*** 2025-11-29  06:17:45 ***_

_*** 2025-11-29  06:20:50 ***_

_*** 2025-11-29  06:23:56 ***_

_*** 2025-11-29  06:27:02 ***_

_*** 2025-11-29  06:30:08 ***_

_*** 2025-11-29  06:33:14 ***_

_*** 2025-11-29  06:36:20 ***_

_*** 2025-11-29  06:39:26 ***_

_*** 2025-11-29  06:42:32 ***_

_*** 2025-11-29  06:45:38 ***_

_*** 2025-11-29  06:48:44 ***_

_*** 2025-11-29  06:51:50 ***_

_*** 2025-11-29  06:54:56 ***_

_*** 2025-11-29  06:58:02 ***_

_*** 2025-11-29  07:01:08 ***_

_*** 2025-11-29  07:04:14 ***_

_*** 2025-11-29  07:07:19 ***_

_*** 2025-11-29  07:10:25 ***_

_*** 2025-11-29  07:13:31 ***_

_*** 2025-11-29  07:16:37 ***_

_*** 2025-11-29  07:19:43 ***_

_*** 2025-11-29  07:22:49 ***_

_*** 2025-11-29  07:25:55 ***_

_*** 2025-11-29  07:29:01 ***_

_*** 2025-11-29  07:32:07 ***_

_*** 2025-11-29  07:35:13 ***_

_*** 2025-11-29  07:38:19 ***_

_*** 2025-11-29  07:41:25 ***_

_*** 2025-11-29  07:44:30 ***_

_*** 2025-11-29  07:47:36 ***_

_*** 2025-11-29  07:50:42 ***_

_*** 2025-11-29  07:53:48 ***_

_*** 2025-11-29  07:56:54 ***_

_*** 2025-11-29  08:00:00 ***_

_*** 2025-11-29  08:03:06 ***_

_*** 2025-11-29  08:06:12 ***_

_*** 2025-11-29  08:09:18 ***_

_*** 2025-11-29  08:12:24 ***_

_*** 2025-11-29  08:15:30 ***_

_*** 2025-11-29  08:18:36 ***_

_*** 2025-11-29  08:21:42 ***_

_*** 2025-11-29  08:24:48 ***_

_*** 2025-11-29  08:27:54 ***_

_*** 2025-11-29  08:31:00 ***_

_*** 2025-11-29  08:34:06 ***_

_*** 2025-11-29  08:37:12 ***_

_*** 2025-11-29  08:40:18 ***_

_*** 2025-11-29  08:43:23 ***_

_*** 2025-11-29  08:46:30 ***_

_*** 2025-11-29  08:49:35 ***_

_*** 2025-11-29  08:52:41 ***_

_*** 2025-11-29  08:55:47 ***_

_*** 2025-11-29  08:58:53 ***_

_*** 2025-11-29  09:01:59 ***_

_*** 2025-11-29  09:05:05 ***_

_*** 2025-11-29  09:08:11 ***_

_*** 2025-11-29  09:11:17 ***_

_*** 2025-11-29  09:14:23 ***_

_*** 2025-11-29  09:17:29 ***_

_*** 2025-11-29  09:20:35 ***_

_*** 2025-11-29  09:23:41 ***_

_*** 2025-11-29  09:26:47 ***_

_*** 2025-11-29  09:29:53 ***_

_*** 2025-11-29  09:32:59 ***_

_*** 2025-11-29  09:36:05 ***_

_*** 2025-11-29  09:39:11 ***_

_*** 2025-11-29  09:42:17 ***_

_*** 2025-11-29  09:45:23 ***_

_*** 2025-11-29  09:48:29 ***_

_*** 2025-11-29  09:51:34 ***_

_*** 2025-11-29  09:54:41 ***_

_*** 2025-11-29  09:57:46 ***_

_*** 2025-11-29  10:00:52 ***_

_*** 2025-11-29  10:03:58 ***_

_*** 2025-11-29  10:07:04 ***_

_*** 2025-11-29  10:10:10 ***_

_*** 2025-11-29  10:13:16 ***_

_*** 2025-11-29  10:16:22 ***_

_*** 2025-11-29  10:19:28 ***_

_*** 2025-11-29  10:22:34 ***_

_*** 2025-11-29  10:25:40 ***_

_*** 2025-11-29  10:28:46 ***_

_*** 2025-11-29  10:31:52 ***_

_*** 2025-11-29  10:34:58 ***_

_*** 2025-11-29  10:38:04 ***_

_*** 2025-11-29  10:41:10 ***_

_*** 2025-11-29  10:44:16 ***_

_*** 2025-11-29  10:47:22 ***_

_*** 2025-11-29  10:50:28 ***_

_*** 2025-11-29  10:53:34 ***_

_*** 2025-11-29  10:56:39 ***_

_*** 2025-11-29  10:59:45 ***_

_*** 2025-11-29  11:02:51 ***_

_*** 2025-11-29  11:05:57 ***_

_*** 2025-11-29  11:09:03 ***_

_*** 2025-11-29  11:12:10 ***_

_*** 2025-11-29  11:15:16 ***_

_*** 2025-11-29  11:18:22 ***_

_*** 2025-11-29  11:21:28 ***_

_*** 2025-11-29  11:24:34 ***_

_*** 2025-11-29  11:27:40 ***_

_*** 2025-11-29  11:30:46 ***_

_*** 2025-11-29  11:33:52 ***_

_*** 2025-11-29  11:36:57 ***_

_*** 2025-11-29  11:40:03 ***_

_*** 2025-11-29  11:43:09 ***_

_*** 2025-11-29  11:46:15 ***_

_*** 2025-11-29  11:49:22 ***_

_*** 2025-11-29  11:52:27 ***_

_*** 2025-11-29  11:55:33 ***_

_*** 2025-11-29  11:58:39 ***_

_*** 2025-11-29  12:01:45 ***_

_*** 2025-11-29  12:04:51 ***_

_*** 2025-11-29  12:07:57 ***_

_*** 2025-11-29  12:11:03 ***_

_*** 2025-11-29  12:14:09 ***_

_*** 2025-11-29  12:17:15 ***_

_*** 2025-11-29  12:20:21 ***_

_*** 2025-11-29  12:23:27 ***_

_*** 2025-11-29  12:26:33 ***_

_*** 2025-11-29  12:29:38 ***_

_*** 2025-11-29  12:32:44 ***_

_*** 2025-11-29  12:35:50 ***_

_*** 2025-11-29  12:38:56 ***_

_*** 2025-11-29  12:42:02 ***_

_*** 2025-11-29  12:45:08 ***_

_*** 2025-11-29  12:48:14 ***_

_*** 2025-11-29  12:51:20 ***_

_*** 2025-11-29  12:54:26 ***_

_*** 2025-11-29  12:57:32 ***_

_*** 2025-11-29  13:00:38 ***_

_*** 2025-11-29  13:03:44 ***_

_*** 2025-11-29  13:06:49 ***_

_*** 2025-11-29  13:09:55 ***_

_*** 2025-11-29  13:13:01 ***_

_*** 2025-11-29  13:16:07 ***_

_*** 2025-11-29  13:19:13 ***_

_*** 2025-11-29  13:22:19 ***_

*** 2025-11-29  13:23:44 *** (restart)
FD : yesterday at 06:22 <=> yesterday at 09:59 : AG

_*** 2025-11-29  13:24:36 ***_

_*** 2025-11-29  13:27:42 ***_

_*** 2025-11-29  13:30:49 ***_

_*** 2025-11-29  13:33:55 ***_

_*** 2025-11-29  13:37:01 ***_

_*** 2025-11-29  13:40:07 ***_

_*** 2025-11-29  13:43:13 ***_

_*** 2025-11-29  13:46:19 ***_

_*** 2025-11-29  13:49:25 ***_

_*** 2025-11-29  13:52:31 ***_

